iter	Passed	Remaining
444	1187	1481
445	1189	1477
446	1191	1473
447	1193	1470
448	1197	1469
449	1199	1466
450	1202	1463
451	1204	1460
452	1206	1457
453	1208	1453
454	1216	1457
455	1218	1454
456	1220	1450
457	1223	1448
458	1228	1447
459	1234	1449
460	1236	1446
461	1243	1448
462	1246	1445
463	1250	1444
464	1252	1440
465	1255	1438
466	1261	1439
467	1264	1437
468	1266	1434
469	1268	1430
470	1275	1432
471	1277	1429
472	1279	1425
473	1280	1421
474	1282	1417
475	1284	1413
476	1286	1410
477	1291	1410
478	1294	1407
479	1301	1409
480	1306	1409
481	1308	1406
482	1310	1402
483	1313	1400
484	1314	1396
485	1316	1392
486	1318	1388
487	1321	1386
488	1324	1383
489	1325	1379
490	1331	1380
491	1335	1378
492	1336	1374
493	1338	1371
494	1342	1369
495	1349	1370
496	1351	1367
497	1352	1363
498	1354	1359
499	1356	1356
500	1358	1352
501	1364	1353
502	1365	1349
503	1367	1345
504	1368	1341
505	1370	1337
506	1371	1334
507	1373	1330
508	1377	1329
509	1379	1325
510	1380	1321
511	1382	1317
512	1383	1313
513	1385	1309
514	1386	1305
515	1387	1301
516	1389	1297
517	1390	1294
518	1392	1290
519	1393	1286
520	1395	1282
521	1396	1278
522	1398	1275
523	1399	1271
524	1400	1267
525	1405	1266
526	1407	1262
527	1408	1259
528	1409	1255
529	1411	1251
530	1412	1247
531	1414	1244
532	1416	1241
533	1420	1239
534	1421	1235
535	1423	1232
536	1424	1228
537	1426	1224
538	1427	1221
539	1429	1217
540	1430	1213
541	1434	1212
542	1436	1208
543	1437	1205
544	1439	1201
545	1442	1199
546	1443	1195
547	1445	1191
548	1448	1190
549	1451	1187
550	1455	1186
551	1457	1183
552	1460	1180
553	1467	1181
554	1469	1178
555	1471	1175
556	1473	1171
557	1475	1168
558	1483	1170
559	1486	1167
560	1489	1165
561	1491	1162
562	1501	1165
563	1503	1162
564	1509	1161
565	1512	1160
566	1514	1156
567	1516	1153
568	1518	1150
569	1520	1146
570	1521	1143
571	1525	1141
572	1527	1138
573	1529	1135
574	1530	1131
575	1538	1132
576	1540	1129
577	1541	1125
578	1543	1122
579	1545	1119
580	1547	1116
581	1549	1112
582	1552	1110
583	1556	1108
584	1558	1105
585	1560	1102
586	1561	1098
587	1562	1095
588	1564	1091
